Month,Revenue,Expenses,Debt Service,Property Tax,Net Cash Flow,Cumulative Cash
Jul 2025,118374,131833,0,0,-13459,2181
Aug 2025,211879,151540,0,0,60339,62519
Sep 2025,217679,134954,0,0,82725,145245
Oct 2025,208197,122610,0,0,85586,230831
Nov 2025,217042,554355,0,0,-337313,-106482
Dec 2025,292339,232904,0,0,59436,-47047
Jan 2026,221227,138568,0,0,82659,57612
Feb 2026,150092,116348,0,0,33744,91357
Mar 2026,183819,226249,0,0,-42430,48926
Apr 2026,173748,114481,0,0,59267,108193
May 2026,200578,290372,0,0,-89794,18399
Jun 2026,158780,186029,0,0,-27249,-8850
